split,classifier,accuracy,f1,precision,recall,training_time
15,SVM,0.8449744463373083,0.8460572229510577,0.8480327486335523,0.8449744463373083,0.1255931854248047
15,NB,0.7904599659284497,0.7893129342810227,0.7896225625139004,0.7904599659284497,0.004126310348510742
15,NN,0.8620102214650767,0.8613824768088403,0.8612095928379568,0.8620102214650767,0.4605231285095215
15,LR,0.8926746166950597,0.8925062996554706,0.8928383357751482,0.8926746166950597,0.044797420501708984
15,RF,0.8432708688245315,0.8418048426552386,0.843145404251123,0.8432708688245315,0.34228014945983887
16,kNN,0.4684838160136286,0.46529948107425495,0.4897420100547696,0.4684838160136286,0.0006849765777587891
16,SVM,0.848381601362862,0.8488379660807014,0.8498336940342684,0.848381601362862,0.13861823081970215
16,NB,0.778534923339012,0.7784053612583606,0.7796537358247575,0.778534923339012,0.004442930221557617
16,NN,0.8671209540034072,0.8671384911576224,0.8685743383710867,0.8671209540034072,0.38437485694885254
16,LR,0.8960817717206133,0.8959348325886975,0.8959732987179254,0.8960817717206133,0.049573659896850586
16,RF,0.8620102214650767,0.8621917402257702,0.8631593574604332,0.8620102214650767,0.33724093437194824
17,kNN,0.4889267461669506,0.49153502565437446,0.506830192328527,0.4889267461669506,0.00043654441833496094
17,SVM,0.8534923339011925,0.8545024702310544,0.858037500840771,0.8534923339011925,0.13421130180358887
17,NB,0.7887563884156729,0.7904877151122783,0.7933546424586081,0.7887563884156729,0.0013048648834228516
17,NN,0.8807495741056218,0.8811314969930681,0.8823887712871872,0.8807495741056218,0.6525630950927734
17,LR,0.9028960817717206,0.9029148261906557,0.9033643248886566,0.9028960817717206,0.04214811325073242
17,RF,0.8534923339011925,0.8530292078909266,0.8538600019797287,0.8534923339011925,0.34282970428466797
18,kNN,0.504258943781942,0.5053682837455457,0.5284556491204828,0.504258943781942,0.0004811286926269531
18,SVM,0.8466780238500852,0.8483075514081418,0.8526958391750267,0.8466780238500852,0.12537932395935059
18,NB,0.7734241908006815,0.7723990202187072,0.7737141324939435,0.7734241908006815,0.005225419998168945
18,NN,0.848381601362862,0.8494020150048167,0.8526185825381959,0.848381601362862,0.2733273506164551
18,LR,0.8926746166950597,0.893078609795018,0.8938410074082492,0.8926746166950597,0.048935890197753906
18,RF,0.8330494037478705,0.8320918484060298,0.833408373586794,0.8330494037478705,0.9470455646514893
19,kNN,0.5059625212947189,0.5091358305601424,0.5223005247617611,0.5059625212947189,0.0004470348358154297
19,SVM,0.8211243611584327,0.82357344571572,0.8305130140190213,0.8211243611584327,0.12918424606323242
19,NB,0.7427597955706985,0.7453798605230159,0.7488410303288751,0.7427597955706985,0.003675222396850586
19,NN,0.8534923339011925,0.8550395732725308,0.8578116147951325,0.8534923339011925,0.47537827491760254
19,LR,0.8960817717206133,0.8972698733012783,0.9003157210951078,0.8960817717206133,0.05338406562805176
19,RF,0.82793867120954,0.8283455970696035,0.8289229712814471,0.82793867120954,0.334064245223999
20,kNN,0.46337308347529815,0.4631935087800992,0.47670830593907526,0.46337308347529815,0.0005598068237304688
20,SVM,0.8364565587734242,0.8362911852661475,0.8377679231400236,0.8364565587734242,0.12955141067504883
20,NB,0.7836456558773425,0.7828950521627489,0.7826684577558781,0.7836456558773425,0.003568887710571289
20,NN,0.8654173764906303,0.8647314150537354,0.8669954014320208,0.8654173764906303,0.5259110927581787
20,LR,0.9028960817717206,0.9026352874788678,0.9027274393397245,0.9028960817717206,0.05275249481201172
20,RF,0.8432708688245315,0.843425724906275,0.8443557087955729,0.8432708688245315,0.33914899826049805
21,kNN,0.49744463373083475,0.4890553159559452,0.4960387138559125,0.49744463373083475,0.0004684925079345703
21,SVM,0.8500851788756388,0.8497251853544353,0.849701188256277,0.8500851788756388,0.12739038467407227
21,NB,0.7904599659284497,0.7878379530994001,0.7874192377785685,0.7904599659284497,0.0015015602111816406
21,NN,0.8841567291311755,0.8835665237527132,0.883794143376767,0.8841567291311755,0.3073265552520752
21,LR,0.9028960817717206,0.9026445931425916,0.902836920521163,0.9028960817717206,0.044385671615600586
21,RF,0.8500851788756388,0.8476668439073939,0.8495066384945532,0.8500851788756388,0.342604398727417
22,kNN,0.47189097103918226,0.4700873364642759,0.471959091953714,0.47189097103918226,0.00042366981506347656
22,SVM,0.868824531516184,0.8697165289009741,0.871497547702107,0.868824531516184,0.1241614818572998
22,NB,0.8126064735945485,0.8102505826697881,0.8095708858511257,0.8126064735945485,0.005265712738037109
22,NN,0.8671209540034072,0.867660413706004,0.8694046141704557,0.8671209540034072,0.4339156150817871
